Date,Price,Open,High,Low,Vol.(in K ),Change %
"Jun 16, 2022",7.67,7.57,7.67,7.51,,0.03
"Jun 15, 2022",7.42,7.27,7.7,7.2,123.59,0.03
"Jun 14, 2022",7.19,8.69,8.89,7.01,273.72,-0.16
"Jun 13, 2022",8.61,8.92,8.95,8.38,167.56,-0.03
"Jun 10, 2022",8.85,9,9.15,8.62,134.61,-0.01
"Jun 09, 2022",8.96,8.63,9.04,8.02,244.48,0.03
"Jun 08, 2022",8.7,9.34,9.66,8.43,250.30,-0.06
"Jun 07, 2022",9.29,9.36,9.54,9.2,140.03,0
"Jun 06, 2022",9.32,8.75,9.4,8.73,129.10,0.09
"Jun 03, 2022",8.52,8.41,8.69,8.27,75.23,0
"Jun 02, 2022",8.49,8.78,9.06,8.38,119.01,-0.02
"Jun 01, 2022",8.7,8.27,8.79,8.15,111.96,0.07
"May 31, 2022",8.15,8.87,8.92,8.12,125.48,-0.06
"May 30, 2022",8.69,8.82,8.91,8.6,,-0.01
"May 29, 2022",8.82,8.83,8.84,8.7,,0.01
"May 27, 2022",8.73,8.81,8.9,8.29,107.09,-0.02
"May 26, 2022",8.91,8.98,9.4,8.79,1.47,-0.01
"May 25, 2022",8.97,8.83,9.4,8.77,37.39,0.02
"May 24, 2022",8.8,8.73,8.93,8.61,31.66,0.01
"May 23, 2022",8.74,8.08,8.82,7.85,65.55,0.08
"May 20, 2022",8.08,8.11,8.19,7.84,85.46,-0.03
"May 19, 2022",8.31,8.24,8.5,7.91,90.58,-0.01
"May 18, 2022",8.37,8.32,8.55,8.16,80.72,0.01
"May 17, 2022",8.3,8.02,8.37,8.02,76.67,0.04
"May 16, 2022",7.96,7.7,8.18,7.66,93.52,0.04
"May 13, 2022",7.66,7.67,7.92,7.52,85.04,-0.01
"May 12, 2022",7.74,7.64,7.79,7.26,107.06,0.01
"May 11, 2022",7.64,7.31,7.72,7.3,120.93,0.03
"May 10, 2022",7.39,7.03,7.46,6.43,185.46,0.05
"May 09, 2022",7.03,7.84,8.29,6.96,202.62,-0.13
"May 06, 2022",8.04,8.84,9,7.96,168.30,-0.08
"May 05, 2022",8.78,8.36,8.91,8.12,160.16,0.04
"May 04, 2022",8.42,7.82,8.47,7.73,132.32,0.06
"May 03, 2022",7.95,7.54,8.17,7.54,153.34,0.06
"May 02, 2022",7.48,7.41,7.62,7.22,110.92,0.03
"Apr 29, 2022",7.24,6.94,7.34,6.81,109.24,0.05
"Apr 28, 2022",6.89,7.4,7.42,6.88,139.57,-0.06
"Apr 27, 2022",7.34,7.01,7.52,6.96,,0.07
"Apr 26, 2022",6.85,6.84,7.05,6.66,41.41,0.03
"Apr 25, 2022",6.67,6.41,6.97,6.35,32.52,0.02
"Apr 22, 2022",6.53,6.94,7.08,6.44,80.60,-0.06
"Apr 21, 2022",6.96,6.83,7.15,6.7,145.26,0
"Apr 20, 2022",6.94,7.25,7.41,6.79,157.96,-0.03
"Apr 19, 2022",7.18,7.78,7.94,6.95,237.00,-0.08
"Apr 18, 2022",7.82,7.37,8.07,7.37,191.08,0.07
"Apr 14, 2022",7.3,7.05,7.35,6.95,214.22,0.04
"Apr 13, 2022",7,6.7,7.09,6.65,210.55,0.05
"Apr 12, 2022",6.68,6.71,6.95,6.6,234.25,0.01
"Apr 11, 2022",6.64,6.39,6.72,6.25,177.96,0.06
"Apr 08, 2022",6.28,6.41,6.54,6.26,188.34,-0.01
"Apr 07, 2022",6.36,6.12,6.44,6,199.51,0.05
"Apr 06, 2022",6.03,6.08,6.39,6,166.72,0
"Apr 05, 2022",6.03,5.78,6.2,5.77,158.22,0.06
"Apr 04, 2022",5.71,5.75,5.86,5.65,137.18,0
"Apr 01, 2022",5.72,5.63,5.78,5.51,178.52,0.01
"Mar 31, 2022",5.64,5.58,5.83,5.45,159.72,0.01
"Mar 30, 2022",5.61,5.33,5.62,5.27,117.85,0.05
